Rating,Reviwe Title,Review,Customer Name,Date,Review Id
4,Works Well,"The product works fine , it is maybe a little problem",mahesh,"Octomber 10,2021",#4458
3,good enough,,suresh,"Octomber 10,2021",
5,Everyoune shoud buy this,You should buy this,ramesh,,
5,Amazing product,Love everything about this product,Vaibhav,5th Octo,
1,this is terrible,the product never worked for me.,raj,"4,41,14,981",
2,Doesn`t work,This doesn`t work as advertised.,pravin,,
4,cool product,"This worked well for me , Not s stat becouse the are chance for improment",shyam,05-Sep-23,
5,BEST THING EVER,Go and buy this product ,somya,,#6754
5,Amazing product,Love everything about this product,Vaibhav,,
5,Love this!,I would 100% recommend this product,virendra,"10,5,2021",
100,Hate this,this doesn`t do anything for me,arjun,,
3,OK product,"It dies what is has to do, but the user experience in the ratting is terrible",krishan,,#4564
