bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,price
3,1,1180,5650,1,1180,0,1955,0,1340,221900
3,2.25,2570,7242,2,2170,400,1951,1991,1690,538000
2,1,770,10000,1,770,0,1933,0,2720,180000
4,3,1960,5000,1,1050,910,1965,0,1360,604000
3,2,1680,8080,1,1680,0,1987,0,1800,510000
4,4.5,5420,101930,1,3890,1530,2001,0,4760,1.23E+06
3,2.25,1715,6819,2,1715,0,1995,0,2238,257500
3,1.5,1060,9711,1,1060,0,1963,0,1650,291850
3,1,1780,7470,1,1050,730,1960,0,1780,229500
3,2.5,1890,6560,2,1890,0,2003,0,2390,323000
3,2.5,3560,9796,1,1860,1700,1965,0,2210,662500
2,1,1160,6000,1,860,300,1942,0,1330,468000
3,1,1430,19901,1.5,1430,0,1927,0,1780,310000
3,1.75,1370,9680,1,1370,0,1977,0,1370,400000
5,2,1810,4850,1.5,1810,0,1900,0,1360,530000
4,3,2950,5000,2,1980,970,1979,0,2140,650000
3,2,1890,14040,2,1890,0,1994,0,1890,395000
4,1,1600,4300,1.5,1600,0,1916,0,1610,485000
2,1,1200,9850,1,1200,0,1921,0,1060,189000
3,1,1250,9774,1,1250,0,1969,0,1280,230000
4,1.75,1620,4980,1,860,760,1947,0,1400,385000
3,2.75,3050,44867,1,2330,720,1968,0,4110,2.00E+06
5,2.5,2270,6300,2,2270,0,1995,0,2240,285000
2,1.5,1070,9643,1,1070,0,1985,0,1220,252700
3,2.25,2450,6500,2,2450,0,1985,0,2200,329000
3,2,1710,4697,1.5,1710,0,1941,0,1030,233000
3,1.75,2450,2691,2,1750,700,1915,0,1760,937000
3,1,1400,1581,1.5,1400,0,1909,0,1860,667000
3,1.75,1520,6380,1,790,730,1948,0,1520,438000
4,2.5,2570,7173,2,2570,0,2005,0,2630,719000
3,2.5,2320,3980,2,2320,0,2003,0,2580,580500
2,1.5,1190,1265,3,1190,0,2005,0,1390,280000
4,1.75,2330,5000,1.5,1510,820,1929,0,1460,687500
3,1,1090,3000,1.5,1090,0,1929,0,1570,535000
4,2.75,2060,6659,1,1280,780,1981,0,2020,322500
3,2.5,2300,3060,1.5,1510,790,1930,2002,1590,696000
4,1,1660,34848,1,930,730,1933,0,2160,550000
4,2,2360,6000,2,2360,0,1904,0,1730,640000
